Producto interno bruto por entidad federativa y tipo de actividad,,,,,,,,,,,,,,,,
Unidad de medida:Millones de pesos a precios de 2013.,,,,,,,,,,,,,,,,
Periodicidad: Anual,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Actividad económica,Entidad,Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015p/,2016
Actividades primarias,Nayarit ,Nayarit -Actividades primarias," 6,335 "," 7,249 "," 7,112 "," 7,072 "," 7,690 "," 8,260 "," 7,374 "," 7,594 "," 8,483 "," 8,349 "," 7,865 "," 7,184 "," 7,143 "," 8,106 "
Actividades primarias,Nuevo León ,Nuevo León -Actividades primarias," 7,730 "," 7,385 "," 6,856 "," 6,813 "," 7,527 "," 6,889 "," 7,211 "," 7,725 "," 6,790 "," 6,905 "," 6,848 "," 6,849 "," 6,354 "," 6,110 "
Actividades primarias,Oaxaca ,Oaxaca -Actividades primarias," 11,683 "," 11,837 "," 11,404 "," 12,590 "," 12,712 "," 13,085 "," 13,283 "," 13,370 "," 13,123 "," 13,917 "," 14,507 "," 14,584 "," 14,452 "," 14,866 "
Actividades primarias,Puebla ,Puebla -Actividades primarias," 18,753 "," 19,166 "," 19,392 "," 20,228 "," 21,333 "," 21,285 "," 19,982 "," 20,963 "," 19,806 "," 22,128 "," 22,182 "," 22,048 "," 24,083 "," 23,906 "
Actividades primarias,Querétaro ,Querétaro -Actividades primarias," 6,499 "," 6,309 "," 5,560 "," 5,959 "," 6,742 "," 6,520 "," 6,394 "," 7,068 "," 6,613 "," 7,659 "," 7,861 "," 8,570 "," 9,083 "," 8,923 "
Actividades primarias,Quintana Roo ,Quintana Roo -Actividades primarias," 1,517 "," 1,648 "," 1,756 "," 1,972 "," 1,596 "," 1,338 "," 1,588 "," 1,930 "," 1,990 "," 1,889 "," 1,980 "," 1,934 "," 1,965 "," 1,896 "
Actividades primarias,San Luis Potosí ,San Luis Potosí -Actividades primarias," 9,115 "," 9,254 "," 9,352 "," 9,481 "," 9,784 "," 10,157 "," 9,399 "," 10,243 "," 9,085 "," 9,560 "," 11,505 "," 12,798 "," 12,717 "," 13,062 "
Actividades primarias,Sinaloa ,Sinaloa -Actividades primarias," 29,403 "," 34,595 "," 32,781 "," 37,269 "," 40,423 "," 39,832 "," 37,419 "," 33,660 "," 30,584 "," 36,054 "," 36,392 "," 36,998 "," 42,502 "," 45,741 "
Actividades primarias,Sonora ,Sonora -Actividades primarias," 24,566 "," 22,403 "," 24,960 "," 23,897 "," 27,050 "," 27,930 "," 28,031 "," 28,628 "," 27,827 "," 31,064 "," 29,942 "," 30,504 "," 33,302 "," 34,915 "
Actividades primarias,Tabasco ,Tabasco -Actividades primarias," 7,782 "," 8,730 "," 7,685 "," 8,278 "," 7,384 "," 7,263 "," 7,017 "," 7,148 "," 6,830 "," 7,693 "," 7,595 "," 7,514 "," 7,642 "," 7,759 "
Actividades primarias,Tamaulipas ,Tamaulipas -Actividades primarias," 14,657 "," 16,376 "," 14,854 "," 15,125 "," 16,634 "," 16,693 "," 16,254 "," 17,532 "," 15,589 "," 15,684 "," 14,374 "," 17,623 "," 16,007 "," 17,634 "
Actividades primarias,Tlaxcala ,Tlaxcala -Actividades primarias," 3,334 "," 2,770 "," 3,053 "," 3,226 "," 3,000 "," 3,585 "," 3,185 "," 3,559 "," 2,346 "," 3,558 "," 3,236 "," 3,363 "," 3,373 "," 3,282 "
Actividades primarias,Veracruz de Ignacio de la Llave ,Veracruz de Ignacio de la Llave -Actividades primarias," 39,098 "," 37,761 "," 34,804 "," 36,684 "," 37,075 "," 36,824 "," 37,917 "," 37,213 "," 37,996 "," 38,985 "," 40,751 "," 39,487 "," 41,562 "," 41,152 "
Actividades primarias,Yucatán ,Yucatán -Actividades primarias," 7,195 "," 8,310 "," 7,820 "," 8,407 "," 8,747 "," 7,818 "," 8,200 "," 8,534 "," 8,702 "," 8,920 "," 8,695 "," 9,084 "," 9,105 "," 9,306 "
Actividades primarias,Zacatecas ,Zacatecas -Actividades primarias," 11,472 "," 9,741 "," 8,005 "," 11,224 "," 9,978 "," 10,386 "," 10,125 "," 10,695 "," 8,744 "," 11,078 "," 12,232 "," 12,145 "," 11,749 "," 14,115 "
Actividades secundarias,Total nacional ,Total nacional -Actividades secundarias," 4,604,522 "," 4,781,936 "," 4,884,760 "," 5,086,480 "," 5,133,608 "," 5,079,734 "," 4,699,987 "," 4,913,184 "," 5,053,170 "," 5,196,910 "," 5,185,312 "," 5,318,303 "," 5,375,575 "," 5,399,343 "
Actividades secundarias,Aguascalientes ,Aguascalientes -Actividades secundarias," 43,926 "," 46,551 "," 47,603 "," 53,051 "," 60,931 "," 58,002 "," 55,709 "," 60,666 "," 62,344 "," 66,713 "," 69,597 "," 82,618 "," 83,232 "," 89,090 "
Actividades secundarias,Baja California ,Baja California -Actividades secundarias," 171,695 "," 185,062 "," 185,575 "," 200,379 "," 199,965 "," 194,806 "," 158,703 "," 165,601 "," 164,847 "," 169,745 "," 170,405 "," 176,454 "," 193,166 "," 198,124 "
Actividades secundarias,Baja California Sur ,Baja California Sur -Actividades secundarias," 21,687 "," 23,372 "," 23,291 "," 24,920 "," 31,602 "," 34,943 "," 37,857 "," 33,633 "," 34,058 "," 32,289 "," 30,272 "," 28,510 "," 38,490 "," 36,445 "
Actividades secundarias,Campeche ,Campeche -Actividades secundarias," 987,337 "," 995,878 "," 972,612 "," 945,550 "," 878,778 "," 795,329 "," 711,628 "," 681,559 "," 650,720 "," 636,347 "," 640,981 "," 603,563 "," 553,759 "," 519,828 "
Actividades secundarias,Coahuila de Zaragoza ,Coahuila de Zaragoza -Actividades secundarias," 241,604 "," 245,450 "," 246,635 "," 260,161 "," 272,421 "," 267,059 "," 199,970 "," 252,720 "," 274,894 "," 291,312 "," 276,370 "," 300,587 "," 297,442 "," 299,690 "
Actividades secundarias,Colima ,Colima -Actividades secundarias," 19,339 "," 18,047 "," 16,967 "," 18,477 "," 20,895 "," 20,810 "," 20,612 "," 21,973 "," 24,939 "," 25,347 "," 25,360 "," 24,780 "," 25,336 "," 25,378 "
Actividades secundarias,Chiapas ,Chiapas -Actividades secundarias," 81,795 "," 68,697 "," 67,798 "," 73,138 "," 69,331 "," 74,679 "," 75,769 "," 84,567 "," 85,043 "," 85,582 "," 76,770 "," 82,356 "," 75,935 "," 67,650 "
Actividades secundarias,Chihuahua ,Chihuahua -Actividades secundarias," 139,939 "," 148,417 "," 153,423 "," 167,675 "," 173,215 "," 172,747 "," 151,840 "," 154,263 "," 155,271 "," 176,408 "," 186,862 "," 191,643 "," 203,890 "," 218,457 "
Actividades secundarias,Ciudad de México ,Ciudad de México -Actividades secundarias," 287,794 "," 297,596 "," 299,595 "," 329,316 "," 319,064 "," 306,961 "," 297,600 "," 283,407 "," 297,198 "," 306,702 "," 290,198 "," 301,981 "," 282,440 "," 289,671 "
Actividades secundarias,Durango ,Durango -Actividades secundarias," 50,110 "," 50,706 "," 47,611 "," 48,038 "," 48,729 "," 49,537 "," 49,547 "," 50,604 "," 55,425 "," 56,364 "," 59,411 "," 61,003 "," 59,419 "," 61,416 "
Actividades secundarias,Guanajuato ,Guanajuato -Actividades secundarias," 149,363 "," 153,284 "," 153,070 "," 164,008 "," 163,303 "," 166,996 "," 157,349 "," 169,927 "," 182,392 "," 191,930 "," 206,340 "," 227,388 "," 248,411 "," 260,113 "
Actividades secundarias,Guerrero ,Guerrero -Actividades secundarias," 28,001 "," 30,732 "," 31,417 "," 33,701 "," 37,046 "," 39,943 "," 36,615 "," 38,657 "," 38,047 "," 39,337 "," 41,979 "," 45,351 "," 42,332 "," 43,866 "
